City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Victoria,HK,77.32,clear sky,22.2855,114.1577,Mini Hotel Central
13,Uribia,CO,82.83,overcast clouds,11.7139,-72.266,Hotel Uribia
17,Weligama,LK,76.89,overcast clouds,5.9667,80.4167,Weligama Bay Resort
21,Carutapera,BR,78.21,overcast clouds,-1.195,-46.02,Lidera
23,Salaga,GH,77.86,broken clouds,8.5508,-0.5188,Bore Nada Guest House
27,Japura,ID,75.27,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
30,Umm Lajj,SA,81.39,clear sky,25.0213,37.2685,Moon light Furnished Units
32,Kapaa,US,82.38,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
34,Pangkalanbuun,ID,75.97,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
42,Boyolangu,ID,80.46,overcast clouds,-8.1181,111.8935,Yos ega cv
44,Soyo,AO,77.86,overcast clouds,-6.1349,12.3689,Hotel Mpampa
45,Aswan,EG,76.3,clear sky,24.0934,32.907,Nuba Nile
54,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
59,Alofi,NU,82.29,light rain,-19.0595,-169.9187,Taloa Heights
62,Namatanai,PG,85.5,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
67,Tayu,ID,82.33,overcast clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
68,Atuona,PF,78.46,clear sky,-9.8,-139.0333,Villa Enata
69,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
72,Cayenne,GF,79.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
73,Butaritari,KI,82.45,few clouds,3.0707,172.7902,Isles Sunset Lodge
78,Hilo,US,82.13,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
81,Vaini,TO,82.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
86,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
87,Biak,ID,81.41,overcast clouds,-0.9131,122.8766,Penginapan Kim
111,Kavaratti,IN,82.36,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
112,Lorengau,PG,85.15,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
113,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
116,Cabo San Lucas,MX,85.6,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
124,Matara,LK,76.32,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
130,Itarema,BR,80.71,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
133,Mayumba,GA,77.02,overcast clouds,-3.432,10.6554,LIKWALE LODGE
137,Labuhan,ID,82.42,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
139,Caravelas,BR,75.49,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
146,Dingle,PH,81.48,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
147,Hithadhoo,MV,81.28,overcast clouds,-0.6,73.0833,Scoop Guest House
158,Jardim De Piranhas,BR,83.14,overcast clouds,-6.3786,-37.3519,Área de Lazer Olho D'água
159,Dwarka,IN,78.57,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
162,Bucerias,MX,83.98,scattered clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
165,Muisne,EC,75.74,overcast clouds,0.6,-80.0333,Quinta Samay
170,Palimbang,PH,84.24,broken clouds,6.2106,124.1894,Felmar Beach resort
172,Nelson Bay,AU,75.11,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
176,Itoman,JP,77.4,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
180,Batemans Bay,AU,76.1,broken clouds,-35.7167,150.1833,Batemans Bay Marina Resort
184,Bambous Virieux,MU,75.45,scattered clouds,-20.3428,57.7575,Casa Tia Villa
189,Tomatlan,MX,79.88,broken clouds,19.9333,-105.25,El Salvial
193,Bintulu,MY,77.41,few clouds,3.1667,113.0333,900 Boutique INN
195,Faanui,PF,79.52,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
197,Beberibe,BR,80.64,overcast clouds,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
198,Saint George,US,76.62,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
203,Pemangkat,ID,80.51,overcast clouds,1.1667,108.9667,Ramah Kost KITA
204,Praia,CV,77.54,scattered clouds,14.9215,-23.5087,LT Aparthotel
208,Tagusao,PH,80.29,overcast clouds,9.1924,117.8141,Toledo
222,Touros,BR,81.5,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
223,Tabou,CI,78.51,scattered clouds,4.423,-7.3528,hotêl doufoulougou
224,Safford,US,81.52,clear sky,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
226,Port-Gentil,GA,78.76,broken clouds,-0.7193,8.7815,Fengshui Residence
227,Altamira,BR,83.57,overcast clouds,-3.2033,-52.2064,Requinte Hotel
232,Coahuayana,MX,85.48,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
234,Ariquemes,BR,75.79,light rain,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
236,Bac Lieu,VN,79.86,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
239,Basco,PH,82.09,broken clouds,20.4487,121.9702,Nathaniel's Lodge
246,Madang,PG,82.6,broken clouds,-5.2246,145.7966,Comfort Inn Hotel
249,Key West,US,78.8,scattered clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
254,Katherine,AU,86.32,broken clouds,-14.4667,132.2667,Pine Tree Motel
261,Yeppoon,AU,78.58,overcast clouds,-23.1333,150.7333,Villa Mar Colina
264,Lamu,KE,77.22,clear sky,-2.2717,40.902,Lamu House
269,El Viejo,NI,84.42,scattered clouds,12.6633,-87.1672,Hotel El Viejo Inn
272,Lianzhou,CN,75.07,broken clouds,24.7811,112.3825,Qingcheng Tourism Industry
282,Pandan,PH,82.94,overcast clouds,14.0453,124.1694,Bonifacio Lodge
283,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
285,Ahuimanu,US,87.51,light rain,21.4447,-157.8378,Paradise Bay Resort
287,Bambanglipuro,ID,80.76,overcast clouds,-7.95,110.2833,Puri Brata
289,Samarai,PG,84.24,few clouds,-10.6167,150.6667,Nuli Sapi
291,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
295,Harper,LR,78.42,broken clouds,4.375,-7.7169,Screensaver
303,Salalah,OM,75.29,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
304,Lompoc,US,78.01,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
305,Acapulco,MX,82.22,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
306,Camapua,BR,81.45,broken clouds,-19.5314,-54.0439,Comercial Estrela
311,Carpinteria,US,84.11,clear sky,34.3989,-119.5185,"Holiday Inn Express & Suites Carpinteria, an IHG Hotel"
312,Quatre Cocos,MU,75.31,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
313,Daru,PG,84.38,scattered clouds,-9.0763,143.2092,Daru Lodge
316,Kavieng,PG,84.94,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
329,Varzea Da Palma,BR,78.42,scattered clouds,-17.5981,-44.7308,Casa Fernandes
336,Sinnamary,GF,78.71,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
344,Pointe Michel,DM,75.49,broken clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
349,Picos,BR,81.88,overcast clouds,-7.0769,-41.4669,Entre Rios Hotel
351,Makakilo City,US,86.32,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
353,Broken Hill,AU,80.31,light rain,-31.95,141.4333,Royal Exchange Hotel
364,Kuching,MY,75.42,few clouds,1.55,110.3333,The Ranee Boutique Suites
367,Qui Nhon,VN,76.28,scattered clouds,13.7667,109.2333,Hoang Yen Canary Hotel
368,Abu Dhabi,AE,78.91,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
