City_ID,City,Country,Lat,Lng,Max Temp,Humidity,cloudiness,wind Speed,Current Description
0,Hermanus,ZA,-34.4187,19.2345,57.9,75,3,4.76,clear sky
1,Hobart,AU,-42.8794,147.3294,70.27,65,75,4.0,broken clouds
2,Busselton,AU,-33.65,115.3333,53.1,58,3,7.14,clear sky
3,Miraflores,MX,19.2167,-98.8083,69.03,56,43,1.57,scattered clouds
4,Ushuaia,AR,-54.8,-68.3,55.06,44,40,18.41,scattered clouds
5,Victoria,HK,22.2855,114.1577,77.32,91,10,1.01,clear sky
6,Nanortalik,GL,60.1432,-45.2371,31.48,79,98,3.87,overcast clouds
7,Puerto Ayora,EC,-0.7393,-90.3518,68.95,78,50,9.1,scattered clouds
8,Narsaq,GL,60.9167,-46.05,26.82,88,100,7.78,overcast clouds
9,Bredasdorp,ZA,-34.5322,20.0403,51.12,82,4,4.61,clear sky
10,Zhigansk,RU,66.7697,123.3711,5.58,94,100,24.45,light snow
11,Jamestown,US,42.097,-79.2353,39.72,60,90,0.0,overcast clouds
12,Port Alfred,ZA,-33.5906,26.891,64.81,78,100,9.84,overcast clouds
13,Uribia,CO,11.7139,-72.266,82.83,66,99,12.75,overcast clouds
14,Castro,BR,-24.7911,-50.0119,64.74,93,74,2.26,broken clouds
15,Thompson,CA,55.7435,-97.8558,33.96,86,75,2.3,broken clouds
16,Opuwo,NA,-18.0607,13.84,73.09,29,50,2.26,scattered clouds
17,Weligama,LK,5.9667,80.4167,76.89,88,91,8.19,overcast clouds
18,Vanavara,RU,60.34,102.2797,13.89,84,100,13.89,overcast clouds
19,College,US,64.8569,-147.8028,26.91,82,90,0.0,overcast clouds
20,Sabzevar,IR,36.2126,57.6819,43.88,30,85,7.87,overcast clouds
21,Carutapera,BR,-1.195,-46.02,78.21,86,100,5.91,overcast clouds
22,Mataura,NZ,-46.1927,168.8643,62.47,37,93,4.27,overcast clouds
23,Salaga,GH,8.5508,-0.5188,77.86,77,80,4.38,broken clouds
24,Rikitea,PF,-23.1203,-134.9692,74.95,78,87,8.72,overcast clouds
25,Cape Town,ZA,-33.9258,18.4232,58.12,82,0,4.61,clear sky
26,Ituango,CO,7.1712,-75.764,63.19,99,93,1.59,overcast clouds
27,Japura,ID,-0.3167,102.35,75.27,95,100,2.64,overcast clouds
28,Punta Arenas,CL,-53.15,-70.9167,53.71,58,75,28.77,broken clouds
29,Khatanga,RU,71.9667,102.5,0.21,92,97,16.08,overcast clouds
30,Umm Lajj,SA,25.0213,37.2685,81.39,54,0,8.41,clear sky
31,Hami,CN,42.8,93.45,16.18,72,23,5.03,few clouds
32,Kapaa,US,22.0752,-159.319,82.38,74,75,1.01,light rain
33,Solnechnyy,RU,50.7214,136.6319,38.71,80,90,11.21,light rain
34,Pangkalanbuun,ID,-2.6833,111.6167,75.97,94,77,1.59,broken clouds
35,Nipawin,CA,53.3668,-104.0009,37.44,87,1,6.91,clear sky
36,Jiuquan,CN,39.7432,98.5174,13.73,82,100,11.27,overcast clouds
37,Torbay,CA,47.6666,-52.7314,37.58,91,90,8.05,moderate rain
38,Longyearbyen,SJ,78.2186,15.6401,12.04,73,40,3.44,scattered clouds
39,Luderitz,NA,-26.6481,15.1594,59.56,73,42,16.58,scattered clouds
40,Cherskiy,RU,68.75,161.3,3.51,87,100,9.08,overcast clouds
41,Bluff,NZ,-46.6,168.3333,62.8,62,44,8.46,scattered clouds
42,Boyolangu,ID,-8.1181,111.8935,80.46,80,95,2.1,overcast clouds
43,Ust-Nera,RU,64.5667,143.2,8.6,97,100,4.05,overcast clouds
44,Soyo,AO,-6.1349,12.3689,77.86,85,91,7.74,overcast clouds
45,Aswan,EG,24.0934,32.907,76.3,31,0,9.22,clear sky
46,Phonhong,LA,18.5007,102.4166,69.62,88,44,1.99,scattered clouds
47,Matane,CA,48.8286,-67.522,37.15,42,13,10.89,few clouds
48,Ribeira Grande,PT,38.5167,-28.7,69.17,94,100,24.96,overcast clouds
49,Tiksi,RU,71.6872,128.8694,5.2,79,100,25.43,overcast clouds
50,Saint-Philippe,RE,-21.3585,55.7679,71.22,79,0,6.11,clear sky
51,Nikolskoye,RU,59.7035,30.7861,43.88,84,100,11.39,overcast clouds
52,Albany,US,42.6001,-73.9662,40.93,70,35,3.0,scattered clouds
53,Mao,ES,39.8885,4.2658,59.56,67,75,27.63,broken clouds
54,Port Blair,IN,11.6667,92.75,78.84,83,40,1.14,mist
55,Pirganj,BD,25.8523,88.3618,63.97,73,58,3.42,broken clouds
56,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,83,40,5.75,scattered clouds
57,Guerrero Negro,MX,27.9769,-114.0611,74.48,56,78,11.12,broken clouds
58,Esperance,AU,-33.8667,121.9,55.24,62,100,8.12,overcast clouds
