City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,cloudiness,wind Speed
0,Ushuaia,AR,2021-10-28 00:12:03,-54.8,-68.3,47.86,53,20,12.66
1,Colac,AU,2021-10-28 00:12:03,-38.3333,143.5833,66.16,61,39,3.36
2,Touros,BR,2021-10-28 00:12:03,-5.1989,-35.4608,79.59,76,4,16.75
3,Hasaki,JP,2021-10-28 00:12:04,35.7333,140.8333,62.82,62,100,14.09
4,Cape Town,ZA,2021-10-28 00:08:52,-33.9258,18.4232,63.88,85,40,6.91
5,Victoria,HK,2021-10-28 00:07:49,22.2855,114.1577,78.33,79,86,1.01
6,Bambous Virieux,MU,2021-10-28 00:12:04,-20.3428,57.7575,71.22,69,3,8.39
7,Ribeira Grande,PT,2021-10-28 00:12:05,38.5167,-28.7,68.14,75,98,17.6
8,Atuona,PF,2021-10-28 00:12:05,-9.8,-139.0333,77.61,70,6,14.67
9,Port Elizabeth,ZA,2021-10-28 00:12:05,-33.918,25.5701,66.0,82,100,16.4
10,Tuktoyaktuk,CA,2021-10-28 00:12:06,69.4541,-133.0374,27.21,97,94,5.21
11,Butaritari,KI,2021-10-28 00:12:06,3.0707,172.7902,80.78,75,100,10.2
12,Torbay,CA,2021-10-28 00:09:29,47.6666,-52.7314,39.58,91,90,12.66
13,Yuryevets,RU,2021-10-28 00:12:07,57.3201,43.1041,42.85,85,97,15.26
14,Palmer,US,2021-10-28 00:12:07,42.1584,-72.3287,52.59,79,90,3.44
15,Vaini,TO,2021-10-28 00:12:07,-21.2,-175.2,78.96,83,20,12.66
16,Bethel,US,2021-10-28 00:12:08,41.3712,-73.414,54.72,85,75,3.44
17,Olafsvik,IS,2021-10-28 00:12:08,64.8945,-23.7142,39.6,96,100,28.32
18,Hermanus,ZA,2021-10-28 00:12:09,-34.4187,19.2345,61.9,96,89,3.85
19,Clearlake,US,2021-10-28 00:12:09,38.9582,-122.6264,71.71,67,36,1.36
20,Beringovskiy,RU,2021-10-28 00:12:09,63.05,179.3167,9.61,77,61,13.85
21,Pathein,MM,2021-10-28 00:12:10,16.7833,94.7333,74.59,93,82,5.06
22,Tevriz,RU,2021-10-28 00:12:10,57.509,72.4042,31.08,88,100,7.47
23,Wewak,PG,2021-10-28 00:12:10,-3.5534,143.6268,84.25,73,55,4.85
24,Koungou,YT,2021-10-28 00:12:11,-12.7336,45.2042,76.71,88,0,8.05
